year,gender,sg,age_group,region,ex-smoker,non-smoker,quitter,smoker,weight
2013.0,female,AB,0,EAST,0.0,0.812,0.006,0.182,28.132
2013.0,female,AB,0,EAST MIDLANDS,0.0,0.994,0.0,0.006,16.336
2013.0,female,AB,0,LONDON,0.0,0.951,0.002,0.048,25.448
2013.0,female,AB,0,NORTH EAST,0.0,0.998,0.0,0.002,15.382
2013.0,female,AB,0,NORTH WEST,0.054,0.856,0.0,0.09,17.537
2013.0,female,AB,0,SOUTH EAST,0.0,0.815,0.004,0.181,42.458
2013.0,female,AB,0,SOUTH WEST,0.111,0.649,0.009,0.231,16.995
2013.0,female,AB,0,WEST MIDLANDS,0.0,0.804,0.002,0.194,13.96
2013.0,female,AB,0,YORKSHIRE AND THE HUMBER,0.0,0.811,0.007,0.182,24.342
2013.0,female,AB,1,EAST,0.164,0.705,0.005,0.127,55.06
2013.0,female,AB,1,EAST MIDLANDS,0.085,0.808,0.001,0.106,29.415
2013.0,female,AB,1,LONDON,0.056,0.826,0.004,0.114,83.188
2013.0,female,AB,1,NORTH EAST,0.119,0.689,0.09,0.102,18.283
2013.0,female,AB,1,NORTH WEST,0.086,0.714,0.012,0.189,45.226
2013.0,female,AB,1,SOUTH EAST,0.146,0.712,0.025,0.117,81.707
2013.0,female,AB,1,SOUTH WEST,0.089,0.72,0.034,0.157,33.317
2013.0,female,AB,1,WEST MIDLANDS,0.035,0.722,0.04,0.203,31.569
2013.0,female,AB,1,YORKSHIRE AND THE HUMBER,0.191,0.696,0.046,0.067,57.729
2013.0,female,AB,2,EAST,0.127,0.821,0.002,0.049,77.442
2013.0,female,AB,2,EAST MIDLANDS,0.237,0.741,0.0,0.022,50.773
2013.0,female,AB,2,LONDON,0.212,0.693,0.02,0.075,95.773
2013.0,female,AB,2,NORTH EAST,0.074,0.763,0.002,0.161,24.801
2013.0,female,AB,2,NORTH WEST,0.121,0.757,0.031,0.09,38.596
2013.0,female,AB,2,SOUTH EAST,0.121,0.826,0.01,0.044,93.648
2013.0,female,AB,2,SOUTH WEST,0.196,0.765,0.023,0.016,61.816
2013.0,female,AB,2,WEST MIDLANDS,0.212,0.735,0.001,0.052,50.325
2013.0,female,AB,2,YORKSHIRE AND THE HUMBER,0.169,0.686,0.037,0.108,71.798
2013.0,female,AB,3,EAST,0.206,0.676,0.003,0.116,79.548
2013.0,female,AB,3,EAST MIDLANDS,0.222,0.717,0.003,0.058,42.65
2013.0,female,AB,3,LONDON,0.189,0.684,0.004,0.123,63.24
2013.0,female,AB,3,NORTH EAST,0.135,0.731,0.002,0.132,28.361
2013.0,female,AB,3,NORTH WEST,0.127,0.722,0.002,0.149,62.537
2013.0,female,AB,3,SOUTH EAST,0.185,0.736,0.002,0.077,111.273
2013.0,female,AB,3,SOUTH WEST,0.211,0.707,0.016,0.065,95.534
2013.0,female,AB,3,WEST MIDLANDS,0.168,0.654,0.004,0.174,58.669
2013.0,female,AB,3,YORKSHIRE AND THE HUMBER,0.256,0.594,0.023,0.126,56.846
2013.0,female,AB,4,EAST,0.177,0.703,0.023,0.096,90.495
2013.0,female,AB,4,EAST MIDLANDS,0.287,0.51,0.064,0.138,35.034
